Filename,Genome_length,GC,Contigs,CDS,mRNA,Gene,Chromosome,ExclFromRefSeq,Hypothetical Proteins,Average len CDS
GCA_003325175.1,5139192,52.21743028865238,3,5021.0,5020.0,5143.0,3.0,No,707,893.2121091416053
GCA_000624275.2,4686198,51.73953383958595,1,4319.0,4319.0,4443.0,1.0,No,860,931.8374623755499
GCA_018339395.1,4628436,52.14882521871319,2,4244.0,4243.0,4360.0,2.0,from large multi-isolate project,199,939.5247408105561
GCA_007923125.1,4998915,52.164099609615285,2,4315.0,4315.0,4423.0,2.0,No,554,921.3035921205098
GCA_016454545.1,5032743,52.16119718412007,4,4701.0,4700.0,4823.0,4.0,No,404,923.3624760689215
GCA_000486915.2,4905181,52.234871659170174,1,4655.0,4655.0,4775.0,1.0,No,943,916.5894736842105
GCA_902825525.1,4676734,52.165913220636455,46,4344.0,4344.0,4591.0,46.0,missing ribosomal protein genes,979,940.692679558011
GCA_003130605.1,4694373,52.209144863435434,1,4497.0,4496.0,4620.0,1.0,No,563,915.3502334889927
GCA_003718015.1,4775784,52.098168593889504,1,4219.0,4219.0,4321.0,1.0,No,902,924.0253614600616
GCA_018310435.1,4951966,52.251994460382,2,4577.0,4574.0,4699.0,2.0,No,223,935.2752894909329
GCA_000230875.1,4881575,52.13731224041421,2,4812.0,4812.0,4952.0,2.0,No,1257,893.6417290108063
GCA_008728495.1,5048151,51.78694139695901,2,4759.0,4753.0,4874.0,2.0,contaminated,528,919.5499054423199
GCA_016454645.1,5103029,51.93660471065322,3,4734.0,4731.0,4854.0,3.0,No,362,929.6062526404731
GCA_900635515.1,4737887,52.18311454030035,1,5132.0,5132.0,5241.0,1.0,RefSeq annotation failed,1,786.0908028059237
GCA_003325135.1,5262637,51.929821494433305,4,5131.0,5127.0,5249.0,4.0,No,938,869.4718378483726
GCA_003052785.2,4907915,52.31897862941799,2,4772.0,4770.0,4890.0,2.0,No,660,900.1051969823973
GCA_016454365.1,5196506,51.95329323202937,5,4871.0,4868.0,4989.0,5.0,No,438,917.3683021966742
GCA_000818115.1,4612373,52.11980904406474,1,4192.0,4192.0,4321.0,1.0,No,656,913.9620706106871
GCA_008244805.1,4869261,52.19319728394103,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_000625235.2,4685838,51.725219693894665,1,4319.0,4319.0,4441.0,1.0,No,878,931.8291271127575
GCA_002234775.1,4734880,52.302782752678,1,4540.0,4540.0,4659.0,1.0,No,682,915.3744493392071
GCA_012957725.2,4948052,52.15286743146596,2,4552.0,4549.0,4671.0,2.0,from large multi-isolate project,290,940.3580843585237
GCA_003864055.1,4759051,52.251530819905064,1,4467.0,4465.0,4582.0,1.0,No,462,926.2014775016789
GCA_004919465.1,5005840,52.17687740718841,3,4756.0,4754.0,4876.0,3.0,No,409,919.4701429772919
GCA_018340545.1,5049952,52.1532283871213,2,4642.0,4637.0,4756.0,2.0,from large multi-isolate project,249,931.1094355881086
GCA_014524605.1,4917371,52.28446257156517,3,4521.0,4516.0,4632.0,3.0,No,234,930.3384207033843
GCA_016657725.1,4552574,49.20249511594979,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_002761055.1,5028552,52.13365597094352,2,4899.0,4899.0,5019.0,2.0,No,1126,890.491733006736
GCA_900538085.1,5085051,52.06993990817398,5,0.0,0.0,0.0,5.0,contaminated,0,0.0
GCA_003231095.1,4798390,52.071861603579535,3,4656.0,4654.0,4769.0,3.0,No,647,903.9020618556701
GCA_900478225.1,4883767,51.96924832818601,1,4424.0,4424.0,4534.0,1.0,RefSeq annotation failed,0,956.2617540687161
GCA_006165225.1,4763925,52.11450642065104,1,4572.0,4563.0,4681.0,1.0,No,663,914.1095800524935
GCA_015159575.1,4866782,52.11934703465246,2,4464.0,4462.0,4585.0,2.0,No,248,947.0188172043011
GCA_005885995.1,4874441,52.1595604501111,1,4483.0,4480.0,4582.0,1.0,No,384,942.9446799018515
GCA_018141985.1,4929834,52.857560721111504,1,0.0,0.0,0.0,1.0,RefSeq annotation failed,0,0.0
GCA_011466815.1,4902491,52.0243892339629,4,4632.0,4630.0,4745.0,4.0,No,458,919.5731865284974
GCA_003869075.2,4588964,52.25471370008568,1,4209.0,4206.0,4326.0,1.0,from large multi-isolate project,199,937.7526728439059
GCA_001048035.2,4758451,52.130430680067946,1,0.0,0.0,0.0,1.0,RefSeq annotation failed,0,0.0
GCA_001148305.2,4793405,52.03278254184656,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_001690005.1,4791235,52.106273226005406,3,4475.0,4475.0,4598.0,3.0,No,831,932.0703910614525
GCA_900478155.1,5219421,51.21267282328825,1,4781.0,4781.0,4895.0,1.0,RefSeq annotation failed,0,933.4808617444049
GCA_001975365.1,4668861,52.33837546245219,1,4385.0,4385.0,4506.0,1.0,No,880,916.5915621436716
GCA_009584725.2,5049648,52.1528827355887,2,4645.0,4640.0,4759.0,2.0,from large multi-isolate project,317,929.0335844994618
GCA_016917415.1,4552575,48.77340845565422,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_004124195.2,4867825,52.04116828357634,2,4522.0,4519.0,4638.0,2.0,No,388,931.0287483414419
GCA_005890095.1,4916124,52.144596027276776,3,4626.0,4623.0,4748.0,3.0,No,364,922.636186770428
GCA_900635565.1,4759612,52.21425612003667,1,4777.0,4777.0,4885.0,1.0,RefSeq annotation failed,0,855.7383294954992
GCA_000624295.2,4685845,51.72719114695428,1,4315.0,4315.0,4438.0,1.0,No,875,931.5028968713789
GCA_018340505.1,4879271,52.08648996950569,1,4575.0,4571.0,4691.0,1.0,from large multi-isolate project,307,925.6655737704918
GCA_005222465.1,4833791,52.10978298399745,1,4600.0,4597.0,4716.0,1.0,No,632,910.4058695652174
GCA_001540845.1,5037238,52.16741793816373,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_001356455.2,4807786,52.08131143940267,1,0.0,0.0,0.0,1.0,RefSeq annotation failed,0,0.0
GCA_001975445.1,4942273,52.01104835770909,1,4705.0,4705.0,4823.0,1.0,No,1000,913.8826780021254
GCA_001119245.2,4761738,52.123951380777356,1,0.0,0.0,0.0,1.0,RefSeq annotation failed,0,0.0
GCA_012223145.1,4584024,52.274159123076146,1,4260.0,4258.0,4359.0,1.0,No,292,941.4943661971831
GCA_001104885.3,4784041,52.10977497893517,1,0.0,0.0,0.0,1.0,RefSeq annotation failed,0,0.0
GCA_018141865.1,5039621,52.892727449147465,2,1291.0,1291.0,1341.0,2.0,many frameshifted proteins,1408,4160.544470224285
GCA_003994715.1,4752941,52.0347717339643,2,4181.0,4158.0,4255.0,2.0,many frameshifted proteins,454,885.9990432910787
GCA_003177255.1,5070296,52.118594259585635,1,4998.0,4996.0,5121.0,1.0,No,706,893.7557022809124
GCA_000430125.1,5267011,51.92901628646684,3,4977.0,4977.0,5084.0,3.0,No,1039,911.6190476190476
GCA_016025435.1,4971429,52.100371945370235,2,4568.0,4566.0,4689.0,2.0,No,258,944.216068301226
GCA_004022525.1,4917945,52.187814219150475,2,4549.0,4546.0,4669.0,2.0,No,452,899.9034952736865
GCA_003717475.1,5002279,51.85926254813056,2,4444.0,4444.0,4545.0,2.0,No,1046,918.5681818181819
GCA_018340095.1,4696449,52.25243582970879,1,4323.0,4322.0,4446.0,1.0,from large multi-isolate project,184,945.7390700902151
GCA_012935255.1,5147688,51.763024487886604,3,4763.0,4758.0,4878.0,3.0,contaminated,434,926.2815452445938
GCA_013376935.1,4936306,51.92054544430592,2,4624.0,4622.0,4741.0,2.0,No,464,921.2638408304498
GCA_009756605.1,5076935,52.08471252832664,2,4920.0,4918.0,5040.0,2.0,No,515,903.5371951219512
GCA_001165785.2,4781022,52.058513849131,1,0.0,0.0,0.0,1.0,RefSeq annotation failed,0,0.0
GCA_001975345.1,4777558,52.09814302620711,1,4541.0,4541.0,4659.0,1.0,No,924,919.1200176172649
GCA_005415515.2,5026871,52.165810501204426,2,4600.0,4595.0,4714.0,2.0,from large multi-isolate project,308,931.7169565217391
GCA_009664895.1,4683671,52.244745627948674,2,4292.0,4290.0,4414.0,2.0,No,286,944.8401677539608
GCA_003325235.1,4936076,51.957952025049856,2,4738.0,4719.0,4839.0,2.0,contaminated,740,895.30033769523
GCA_016657285.1,5047093,46.0212443083573,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_003994695.1,4753285,52.03243651495755,2,4260.0,4239.0,4343.0,2.0,many frameshifted proteins,456,893.2338028169014
GCA_003718575.1,4872916,52.00668347248342,2,4327.0,4327.0,4428.0,2.0,No,941,917.5990293505894
GCA_001121865.2,4653627,52.20435587123764,1,0.0,0.0,0.0,1.0,RefSeq annotation failed,0,0.0
GCA_001692635.1,4788027,52.104217457420354,2,4472.0,4472.0,4595.0,2.0,No,832,930.9736135957066
GCA_002946375.1,4846817,52.11011680449251,1,4616.0,4614.0,4740.0,1.0,No,697,917.5160311958406
GCA_001692575.1,4890688,52.06187759268226,4,4581.0,4581.0,4704.0,4.0,No,866,926.6136214800262
GCA_000486345.2,4913633,52.225471458694614,2,4573.0,4573.0,4701.0,2.0,No,827,920.6258473649683
GCA_000623835.2,4685841,51.723970147514606,1,4318.0,4318.0,4439.0,1.0,No,877,931.837424733673
GCA_016454345.1,4964909,52.20953697237955,4,4631.0,4630.0,4756.0,4.0,No,343,929.5286115309868
GCA_000625095.2,4685847,51.73862911016941,1,4317.0,4317.0,4439.0,1.0,No,876,931.8735232800556
GCA_001922165.1,4846742,52.212352132628475,1,4515.0,4515.0,4627.0,1.0,No,631,936.5588039867109
GCA_006051135.2,4612001,51.9131066970714,1,0.0,0.0,0.0,1.0,from large multi-isolate project,0,0.0
GCA_005606535.2,5061743,52.11116012804285,1,4751.0,4750.0,4873.0,1.0,from large multi-isolate project,360,921.3771837507893
GCA_003718055.1,4806999,52.08016477640208,1,4239.0,4239.0,4336.0,1.0,No,892,924.2661004953999
GCA_000623675.2,4685848,52.166096723581305,1,4365.0,4365.0,4487.0,1.0,No,898,927.6487972508592
GCA_000625655.2,4685834,52.166337945390296,1,4365.0,4365.0,4488.0,1.0,No,882,927.1539518900344
GCA_001305835.1,4701355,52.248362440190114,1,4368.0,4368.0,4477.0,1.0,No,438,937.6407967032967
GCA_008761195.2,5018719,52.154045683769105,2,4604.0,4599.0,4718.0,2.0,from large multi-isolate project,310,931.5034752389226
GCA_000624795.2,4685786,51.72694613027569,1,4321.0,4321.0,4443.0,1.0,No,876,932.0701226567924
GCA_000623875.2,4685905,51.72443743524463,1,4314.0,4314.0,4437.0,1.0,No,875,932.0166898470097
GCA_011182555.2,5002004,52.167011461806105,2,4589.0,4584.0,4703.0,2.0,from large multi-isolate project,307,933.8592285901068
GCA_900475825.1,4707477,52.242804372703255,1,4298.0,4298.0,4407.0,1.0,RefSeq annotation failed,0,949.8450442066078
GCA_003717635.1,4774500,52.099151743638075,1,4219.0,4219.0,4315.0,1.0,No,903,924.2209054278266
GCA_016917635.1,4552700,48.97287324005535,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_002211565.1,4874915,52.24796740045724,1,4662.0,4659.0,4777.0,1.0,No,883,912.2728442728443
GCA_003986635.1,4954994,52.08698537273708,3,4832.0,4830.0,4951.0,3.0,No,659,898.5951986754967
GCA_000625975.2,4685841,51.724439647013206,1,4313.0,4313.0,4435.0,1.0,No,875,931.7774171110595
GCA_002507715.2,4806207,52.13522846602321,1,4456.0,4454.0,4567.0,1.0,No,241,937.2358617594255
GCA_008727535.1,5326347,51.83961916112488,4,0.0,0.0,0.0,4.0,contaminated,0,0.0
GCA_002761115.1,4754716,52.19775481858433,2,4519.0,4519.0,4639.0,2.0,No,992,895.9847311352069
GCA_004847625.1,4726558,52.24918429013248,1,4397.0,4396.0,4512.0,1.0,No,328,936.43825335456
GCA_002211865.1,5051440,51.60391888253646,3,4671.0,4667.0,4784.0,3.0,No,1097,928.3121387283237
GCA_003718435.1,4874555,52.04070935705926,2,4302.0,4302.0,4400.0,2.0,No,919,924.0160390516039
GCA_900475895.1,4787620,51.87901295424449,1,4385.0,4385.0,4493.0,1.0,RefSeq annotation failed,1,946.4588369441277
GCA_003031875.1,4774550,52.229613261982806,1,4562.0,4560.0,4677.0,1.0,No,676,916.393686979395
GCA_009728795.1,4726376,52.20515676281362,4,4515.0,4512.0,4634.0,4.0,No,485,913.9415282392026
GCA_000026565.1,4581797,52.18367378563476,1,4082.0,4079.0,4149.0,1.0,No,949,925.5970149253732
GCA_003710205.1,4709669,52.25261053377636,1,4526.0,4522.0,4643.0,1.0,No,551,910.5167918692002
GCA_003324915.1,5093270,51.83606995113159,4,4913.0,4911.0,5031.0,4.0,No,738,902.3126399348666
GCA_002760975.1,4686089,52.18552187122353,1,4399.0,4399.0,4519.0,1.0,No,968,899.1172993862241
GCA_000251025.1,4812143,51.72096922306756,3,4720.0,4720.0,4865.0,3.0,No,1367,881.375
GCA_002238275.1,5070907,51.95910711831237,3,4897.0,4897.0,5014.0,3.0,No,1092,899.4184194404737
GCA_006949085.2,5153026,52.07963243344784,2,4804.0,4803.0,4923.0,2.0,from large multi-isolate project,346,918.9814737718568
GCA_018338995.1,4660072,52.23247623641866,1,4279.0,4277.0,4398.0,1.0,from large multi-isolate project,212,945.4428604814209
GCA_000941015.2,4856438,52.20008986009911,1,4662.0,4662.0,4784.0,1.0,No,855,907.1209781209781
GCA_000623635.2,4685848,51.74006924680442,1,4319.0,4319.0,4441.0,1.0,No,879,931.6334799722158
GCA_006165285.1,4859264,52.08212601743803,2,4682.0,4672.0,4790.0,2.0,No,700,907.8795386586929
GCA_012051385.1,5225110,52.15272022981334,3,4913.0,4911.0,5034.0,3.0,No,395,918.0624872786485
GCA_015732575.1,5294294,51.88650271405404,3,4974.0,4969.0,5092.0,3.0,No,368,920.9185765983112
GCA_009648735.1,4907829,52.15664604451378,3,4527.0,4526.0,4642.0,3.0,No,337,938.9032471835653
GCA_003718355.1,4907851,52.04014954814235,2,4351.0,4351.0,4451.0,2.0,No,987,919.8958860032177
GCA_000272815.2,4755838,52.248520660291625,1,4309.0,4309.0,4421.0,1.0,No,611,957.1438848920864
GCA_000953595.1,4620579,52.12565351658309,1,4586.0,4282.0,4319.0,1.0,missing strain identifier,857,884.321412996075
GCA_002999175.1,5009620,51.9977163936586,2,4845.0,4840.0,4966.0,2.0,contaminated,754,902.8371517027864
GCA_010713575.2,4775921,52.2003399972487,2,4323.0,4308.0,4426.0,2.0,from large multi-isolate project,238,917.9673837612769
GCA_003717015.1,5000436,51.85889790410276,2,4427.0,4427.0,4530.0,2.0,No,1029,920.363903320533
GCA_000626115.2,4685835,51.72591437812044,1,4320.0,4320.0,4442.0,1.0,No,878,931.7166666666667
GCA_007634455.2,4732711,52.176923543398274,1,4368.0,4367.0,4488.0,1.0,from large multi-isolate project,211,940.9237637362637
GCA_016917495.1,4552574,48.76120629779988,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_001972545.2,4740988,52.17009619092054,2,4356.0,4354.0,4476.0,2.0,No,211,933.3512396694215
GCA_016452105.1,5121780,51.92927068323903,7,4739.0,4732.0,4852.0,7.0,No,370,927.294576914961
GCA_016452145.1,5218507,51.80521938554456,4,4892.0,4889.0,5002.0,4.0,contaminated,449,918.8808258381031
GCA_009884355.1,4774005,52.173719968873094,2,4381.0,4379.0,4500.0,2.0,No,338,919.1111618351974
GCA_004683925.1,4984377,52.16130320800373,2,4793.0,4790.0,4911.0,2.0,contaminated,459,907.1637805132485
GCA_003627015.2,4727462,52.250213751057125,1,4390.0,4389.0,4506.0,1.0,No,322,937.664464692483
GCA_018339915.1,4703624,52.24097419351547,1,4344.0,4342.0,4455.0,1.0,from large multi-isolate project,197,941.0386740331492
GCA_015247395.2,4703182,52.28260356499068,1,4333.0,4330.0,4453.0,1.0,from large multi-isolate project,191,943.4253404108008
GCA_003324835.1,4831790,52.138689802329985,3,4690.0,4688.0,4808.0,3.0,No,608,897.4891257995736
GCA_000623375.1,4682805,52.17646261161846,1,4336.0,4336.0,4445.0,1.0,No,718,932.3376383763838
GCA_001713515.2,4727578,52.13407372654666,2,4313.0,4311.0,4433.0,2.0,No,210,933.70415024345
GCA_003718535.1,4904334,52.039420643047556,2,4353.0,4353.0,4453.0,2.0,No,990,918.5713301171605
GCA_016917535.1,4575198,49.3223025539004,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_003718555.1,4907634,52.04601647148096,2,4352.0,4352.0,4454.0,2.0,No,988,919.5043658088235
GCA_000626035.2,4685836,51.72280890752472,1,4316.0,4316.0,4438.0,1.0,No,877,931.6093605189991
GCA_000625855.2,4685659,52.166322816064934,1,4368.0,4368.0,4490.0,1.0,No,882,926.7335164835165
GCA_001576275.1,5010007,52.18671351157793,2,4690.0,4690.0,4965.0,2.0,No,215,924.6100213219617
GCA_000625055.2,4685845,51.72465158365247,1,4321.0,4321.0,4443.0,1.0,No,878,931.3806989122888
GCA_000625415.2,4685845,51.74018773561652,1,4315.0,4315.0,4438.0,1.0,No,874,931.9158748551564
GCA_001690135.1,5062479,51.8200273028293,5,4749.0,4749.0,4872.0,5.0,contaminated,982,920.9715729627289
GCA_907163175.1,5231618,52.200772304094066,2,0.0,0.0,0.0,2.0,No,0,0.0
GCA_002761075.1,4738679,52.16943371770909,2,4528.0,4528.0,4652.0,2.0,No,988,895.5395318021201
GCA_003717915.1,4875739,52.040521447107814,2,4291.0,4291.0,4393.0,2.0,No,911,925.6007923560942
GCA_004919305.1,4938638,52.13830209867579,3,4661.0,4658.0,4778.0,3.0,No,392,922.350568547522
GCA_006873825.2,4900955,52.21651698495497,1,4503.0,4499.0,4620.0,1.0,from large multi-isolate project,243,941.8354430379746
GCA_012050025.1,5259011,51.94923532200256,3,4925.0,4921.0,5046.0,3.0,No,393,921.1482233502538
GCA_001831915.2,4879725,52.109043030088785,1,4483.0,4480.0,4601.0,1.0,No,267,941.0769573946018
GCA_016917675.1,4552575,48.760119273158594,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_003595645.1,4995864,52.14689591229865,3,4767.0,4765.0,4884.0,3.0,No,613,885.821900566394
GCA_018336435.1,4846296,52.03093248947237,2,4430.0,4425.0,4547.0,2.0,No,371,932.1151241534989
GCA_004124035.2,5179082,51.92327520591487,3,4908.0,4903.0,5028.0,3.0,No,474,915.2194376528117
GCA_003324975.1,4897849,52.08106660699421,2,4704.0,4703.0,4819.0,2.0,No,650,909.5720663265306
GCA_001048375.2,4796046,52.03680281631994,1,0.0,0.0,0.0,1.0,RefSeq annotation failed,0,0.0
GCA_014250335.1,5079488,52.18510212052868,4,0.0,0.0,0.0,4.0,contaminated,0,0.0
GCA_004923395.1,4897162,52.222613832256314,6,4580.0,4578.0,4695.0,6.0,No,435,923.7021834061136
GCA_901457615.1,4839011,52.11684784349529,1,4629.0,4629.0,4731.0,1.0,No,6,903.4050550874919
GCA_003718035.1,4905975,52.043559129428914,2,4348.0,4348.0,4446.0,2.0,No,985,920.0538178472862
GCA_002741865.1,4862592,52.29145278896522,1,4329.0,4328.0,4444.0,1.0,many frameshifted proteins,713,890.9792099792099
GCA_002224405.1,5119391,51.67905713785097,5,4933.0,4920.0,5040.0,5.0,No,959,894.1755524021893
GCA_001409135.1,5161692,52.10150082569824,2,4818.0,4818.0,4927.0,2.0,No,2,927.0292652552927
GCA_000624095.2,4685842,51.724663358260905,1,4318.0,4318.0,4441.0,1.0,No,875,931.8402037980546
GCA_000624875.2,4685847,51.741488785271905,1,4322.0,4322.0,4444.0,1.0,No,877,931.8472929199445
GCA_016952595.1,4995795,52.1561433165292,3,4657.0,4654.0,4775.0,3.0,No,320,925.0246940090187
GCA_005935865.2,4871995,52.030246336459705,2,4507.0,4500.0,4620.0,2.0,from large multi-isolate project,278,923.7601508764145
GCA_907163195.1,5232853,51.8808573449321,6,0.0,0.0,0.0,6.0,contaminated,0,0.0
GCA_000626155.2,4685834,51.7250717801783,1,4322.0,4322.0,4444.0,1.0,No,879,931.3704303563165
GCA_012053525.1,4973648,51.8572685481562,2,4597.0,4590.0,4707.0,2.0,No,413,928.2951925168588
GCA_000444445.1,4682599,52.1379473236978,1,4052.0,4052.0,4152.0,1.0,many frameshifted proteins,745,876.6836130306021
GCA_907166765.1,277503,46.94003308072345,1,0.0,0.0,0.0,1.0,contaminated,0,0.0
GCA_003718515.1,4800586,52.07389264560618,1,4222.0,4222.0,4323.0,1.0,No,882,925.8912837517764
GCA_015247655.2,4960948,51.98675736976078,3,4510.0,4501.0,4622.0,3.0,from large multi-isolate project,255,945.5372505543237
GCA_004124095.2,5167474,51.83497778605175,3,4886.0,4883.0,5005.0,3.0,No,477,919.4081047891937
GCA_001953035.1,4917142,52.13146173122517,2,4673.0,4673.0,4791.0,2.0,No,963,896.6734431842499
GCA_000341425.1,4675267,52.17605753853202,3,4405.0,4405.0,4510.0,3.0,No,812,914.8792281498297
GCA_000625255.2,4685847,51.74174487557959,1,4321.0,4321.0,4443.0,1.0,No,876,931.9715343670447
GCA_004847605.1,4903796,52.15369888959492,3,4593.0,4591.0,4707.0,3.0,No,384,927.189418680601
GCA_016917475.1,4552575,48.76268924729411,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_000625035.2,4685845,51.72224006555915,1,4318.0,4318.0,4441.0,1.0,No,877,931.6665122742011
GCA_006741505.1,4987021,52.25061213899039,3,4671.0,4671.0,4781.0,3.0,No,972,925.5150931278099
GCA_005767655.2,5021510,52.156502725275864,2,4617.0,4612.0,4731.0,2.0,from large multi-isolate project,310,933.046783625731
GCA_001647755.1,5001829,51.93506215426397,2,4638.0,4638.0,4757.0,2.0,No,1023,915.8117723156533
GCA_007977065.2,5043012,52.153851706083586,2,4627.0,4622.0,4741.0,2.0,from large multi-isolate project,312,932.510265830992
GCA_013114875.1,5024826,52.11591406349195,2,4613.0,4608.0,4727.0,2.0,from large multi-isolate project,304,933.4333405592889
GCA_006461415.2,4897518,52.322360019912125,2,4568.0,4566.0,4686.0,2.0,No,331,933.0304290718038
GCA_016657525.1,4552507,49.189248912741924,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_000009525.1,4658697,52.204554191869526,1,4590.0,4279.0,4422.0,1.0,No,869,885.6442265795207
GCA_016454445.1,5112424,52.13423221548135,3,4776.0,4771.0,4895.0,3.0,No,328,925.0420854271357
GCA_018340055.1,4741302,52.1712390394031,2,4341.0,4339.0,4462.0,2.0,from large multi-isolate project,209,932.9792674498964
GCA_001692495.1,4788924,52.105191061708226,2,4472.0,4472.0,4595.0,2.0,No,832,931.4076475849731
GCA_016917455.1,4552879,49.33708978428814,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_008606975.2,4770886,52.25612181888228,1,4390.0,4386.0,4508.0,1.0,from large multi-isolate project,193,939.7842824601366
GCA_001077835.1,5198166,52.52960371023165,2,4713.0,4713.0,4828.0,2.0,No,741,925.5862507956715
GCA_014123145.1,5196399,51.223491498632036,2,4664.0,4662.0,4788.0,2.0,contaminated,443,937.452615780446
GCA_018340235.1,4682982,52.29232143108814,1,4290.0,4289.0,4409.0,1.0,from large multi-isolate project,180,947.7146853146853
GCA_018338935.1,4928125,52.08414965123652,2,4495.0,4471.0,4592.0,2.0,from large multi-isolate project,246,937.2945494994439
GCA_000624155.2,4685848,51.73780711623595,1,4436.0,4434.0,4555.0,1.0,No,553,911.8203336339044
GCA_003986675.1,4978420,52.14282844757975,2,4855.0,4852.0,4972.0,2.0,No,689,895.3796086508754
GCA_000743055.1,4831756,52.1139312498396,2,4361.0,4361.0,4475.0,2.0,No,644,951.044255904609
GCA_001628755.1,4779347,51.5050277788995,1,4224.0,4224.0,4336.0,1.0,No,788,958.6526988636364
GCA_001278315.1,4512838,51.86335073406136,1,4310.0,4310.0,4403.0,1.0,contaminated,1066,902.9006960556844
GCA_004848685.1,4857623,52.16388756393817,2,4554.0,4553.0,4669.0,2.0,No,372,929.1416337285903
GCA_013376915.1,4949832,51.87818495658034,1,4640.0,4637.0,4756.0,1.0,No,451,921.0125
GCA_014854835.1,4799045,52.21117951592452,1,4368.0,4367.0,4486.0,1.0,No,259,927.3695054945055
GCA_004006075.1,4759927,52.13338355819322,3,4509.0,4508.0,4627.0,3.0,No,436,923.4018629407851
GCA_015240855.1,4869504,52.265815984543806,3,0.0,0.0,0.0,3.0,No,0,0.0
GCA_008504985.2,5072784,52.08690139379087,3,4665.0,4660.0,4779.0,3.0,from large multi-isolate project,319,929.4868167202573
GCA_012957765.2,5040376,52.14686364668033,2,4611.0,4606.0,4723.0,2.0,from large multi-isolate project,250,931.491216655823
GCA_003054535.1,4597370,52.30340390266609,1,4409.0,4409.0,4532.0,1.0,No,849,915.9623497391699
GCA_009667855.1,4806620,52.210035326279176,2,4529.0,4528.0,4644.0,2.0,No,435,921.7778759107971
GCA_000624735.2,4685840,51.7246427534871,1,4318.0,4318.0,4440.0,1.0,No,877,931.6720704029643
GCA_014334235.1,5021136,51.87053288339531,5,4679.0,4676.0,4797.0,5.0,No,345,926.5430647574268
GCA_000625015.2,4685845,51.69404877882218,1,4311.0,4311.0,4434.0,1.0,No,876,931.7935513801903
GCA_004136075.1,4834802,52.26096125549712,2,4686.0,4685.0,4805.0,2.0,No,662,905.1837387964149
GCA_000020705.1,4983515,52.05618925597695,3,4779.0,4779.0,4933.0,3.0,No,800,887.2460765850597
GCA_003718475.1,4908524,52.04040970360948,2,4357.0,4357.0,4458.0,2.0,No,990,919.2329584576544
GCA_000625615.2,4685843,51.724118797834244,1,4312.0,4312.0,4435.0,1.0,No,880,931.57073283859
GCA_001597795.2,4917159,52.06687438823923,2,4291.0,4290.0,4417.0,2.0,many frameshifted proteins,345,902.1202516895828
GCA_018339535.1,4756723,52.25187592382403,1,4388.0,4387.0,4506.0,1.0,from large multi-isolate project,197,941.4888331814038
GCA_000624855.2,4685847,51.74136074011806,1,4316.0,4316.0,4438.0,1.0,No,875,932.5762279888786
GCA_006870005.2,4911611,52.253547766710355,1,4581.0,4578.0,4699.0,1.0,from large multi-isolate project,291,925.7917485265226
GCA_011466595.1,4673793,52.17749267030012,1,4355.0,4353.0,4468.0,1.0,No,359,932.6110218140069
GCA_006199305.2,4583521,52.25166416822351,1,4213.0,4212.0,4331.0,1.0,from large multi-isolate project,182,939.4740090197009
GCA_015052785.1,4992900,52.21786937451181,2,4633.0,4630.0,4753.0,2.0,No,234,932.9104252104468
GCA_004919365.1,5036798,52.12275735497036,2,4787.0,4784.0,4895.0,2.0,No,419,914.4443283893879
GCA_011436695.2,4677546,52.181336110858126,1,4299.0,4290.0,4412.0,1.0,from large multi-isolate project,234,937.8457780879274
GCA_001620115.1,4864598,52.23116072489443,2,4574.0,4574.0,4690.0,2.0,No,966,924.9223874070835
GCA_005954705.1,5014902,52.16422972971356,3,4739.0,4737.0,4856.0,3.0,No,395,913.9651825279595
GCA_000623655.2,4685847,52.16555299394112,1,4365.0,4365.0,4487.0,1.0,No,896,927.4707903780069
GCA_000625595.2,4685838,51.72807937448969,1,4316.0,4316.0,4438.0,1.0,No,880,931.4779888785913
GCA_000626315.1,4710452,52.14741600169156,1,3934.0,3934.0,4037.0,1.0,misassembled,763,882.4245043213015
GCA_007473075.2,4591425,52.28355031390037,1,4165.0,4164.0,4282.0,1.0,from large multi-isolate project,173,951.0638655462185
GCA_012273475.1,4845495,52.087000399340006,2,4481.0,4474.0,4591.0,2.0,No,321,930.1950457487168
GCA_016889645.1,4804092,52.19847996249864,2,4466.0,4464.0,4586.0,2.0,No,293,933.58934169279
GCA_900635075.1,4556353,51.44344610700708,1,4687.0,4687.0,4796.0,1.0,RefSeq annotation failed,1,824.4115639001493
GCA_000626295.1,4681839,52.173515577959854,1,4334.0,4334.0,4443.0,1.0,No,719,932.0906783571759
